REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Planta finalta;Planta de Gerente oficial;P.A.P;Cuenta de ahorros ;Cuenta corriente;Libranza ;Tarjeta de crédito ;Crédito hipotecario;Crédito de consumo o comercial ;Banca seguros ;CDT;Cuenta protegida;Libre destino;Total productos;Asesor 2;Asesor 1;Productividad
BOGOTÁ Y PYME;BOGOTÁ CENTRO;141;AVENIDA SEXTA - BOGOTA;1/01/2019;2,12;1;38;35;;22;5;2;2;7;5;11;1;128;1;1;60,37735849
BOGOTÁ Y PYME;BOGOTÁ SUR ;130;BARRIO RESTREPO;1/01/2019;3,68;1;3;48;;38;2;;1;23;11;26;1;153;2;2;41,57608696
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;BARRIO RICAURTE;1/01/2019;2,12;1;9;22;;11;6;;;6;5;13;1;73;1;1;34,43396226
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;BOGOTA;1/01/2019;3,68;1;10;64;;26;10;1;1;18;14;42;;186;2;2;50,54347826
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;CALLE CATORCE;1/01/2019;8,24;1;18;50;;45;12;1;;30;13;36;3;208;6;3;25,24271845
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;CENTRO ADMINISTRATIVO DISTRITAL;1/01/2019;2,12;1;16;9;;9;4;;1;8;4;30;;81;1;1;38,20754717
BOGOTÁ Y PYME;BOGOTÁ CENTRO;26;LOS MINISTERIOS;1/01/2019;4,12;1;7;11;1;27;3;1;1;13;12;63;1;140;3;1;33,98058252
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;PALOQUEMAO;1/01/2019;2,12;1;17;26;;16;13;1;1;9;3;28;1;115;1;1;54,24528302
BOGOTÁ Y PYME;BOGOTÁ CENTRO;40;PRINCIPAL;1/01/2019;6,24;1;19;98;;38;15;1;6;20;12;44;;253;4;3;40,54487179
BOGOTÁ Y PYME;BOGOTÁ CENTRO;150;SAN DIEGO;1/01/2019;6,24;1;8;78;1;56;8;2;9;40;6;56;2;266;4;3;42,62820513
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;SANS FACON;1/01/2019;2,12;1;5;21;;7;4;1;5;4;3;9;;59;1;1;27,83018868
BOGOTÁ Y PYME;BOGOTÁ SUR ;129;SOSIEGO;1/01/2019;2,12;1;;21;;12;;;;6;4;12;;55;1;1;25,94339623
BOGOTÁ Y PYME;BOGOTÁ NORTE;11;ANTIGUO COUNTRY;1/01/2019;2,12;1;;41;;5;1;3;1;3;4;5;;63;1;1;29,71698113
BOGOTÁ Y PYME;BOGOTÁ CENTRO;66;AVENIDA CHILE;1/01/2019;3,68;1;1;35;1;17;9;2;3;9;12;22;;111;2;2;30,16304348
BOGOTÁ Y PYME;BOGOTÁ NORTE;98;CANTON NORTE;1/01/2019;2,12;1;10;32;;20;8;3;;6;2;15;1;97;1;1;45,75471698
BOGOTÁ Y PYME;BOGOTÁ NORTE;88;CEDRITOS;1/01/2019;3,12;1;3;77;;35;8;1;;23;12;19;;178;2;1;57,05128205
BOGOTÁ Y PYME;BOGOTÁ NORTE;63;CHICO - PARQUE 93;1/01/2019;2,68;1;;11;3;4;5;1;19;;3;;;46;1;2;17,1641791
BOGOTÁ Y PYME;BOGOTÁ NORTE;29;LA CASTELLANA;1/01/2019;2,12;1;1;19;;13;7;1;;9;5;18;2;75;1;1;35,37735849
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;65;LA FLORESTA;1/01/2019;3,68;1;12;52;;35;8;1;5;12;13;18;;156;2;2;42,39130435
BOGOTÁ Y PYME;BOGOTÁ NORTE;44;PLAZA IMPERIAL (SUBA);1/01/2019;3,12;1;11;98;;55;3;1;;30;20;45;;263;2;1;84,29487179
BOGOTÁ Y PYME;BOGOTÁ NORTE;45;SANTA FE;1/01/2019;3,12;1;;111;;18;2;;4;8;13;27;;183;2;1;58,65384615
BOGOTÁ Y PYME;BOGOTÁ CENTRO;170;SIETE DE AGOSTO;1/01/2019;2,12;1;1;12;;10;;;;4;9;3;;39;1;1;18,39622642
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;87;TITAN PLAZA;1/01/2019;3,12;1;11;89;;46;8;4;1;19;19;19;2;218;2;1;69,87179487
BOGOTÁ Y PYME;BOGOTÁ NORTE;41;TOBERIN;1/01/2019;2,68;1;7;50;;15;4;2;1;5;8;12;;104;1;2;38,80597015
