REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
BOGOTÁ Y PYME;BOGOTÁ CENTRO;141;AVENIDA SEXTA - BOGOTA;1/01/2018;2,5;1;7;16;2;32;4;;4;6;4;10;;85;1;1;PEQUEÑA;1;0;2018;Trim.1;34
BOGOTÁ Y PYME;BOGOTÁ SUR ;130;BARRIO RESTREPO;1/01/2018;4,5;1;4;94;;27;5;1;4;19;12;20;1;187;2;2;GRANDE;1;0;2018;Trim.1;41,6
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;BARRIO RICAURTE;1/01/2018;2,5;1;1;12;;8;2;;3;2;1;9;;38;1;1;PEQUEÑA;1;0;2018;Trim.1;15,2
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;BOGOTA;1/01/2018;4,5;1;10;68;;26;7;1;2;16;14;34;;178;2;2;MUY GRANDE;1;0;2018;Trim.1;39,6
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;CALLE CATORCE;1/01/2018;9,5;1;34;100;;51;14;;;22;16;30;1;268;6;3;MUY GRANDE;1;0;2018;Trim.1;28,2
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;CENTRO ADMINISTRATIVO DISTRITAL;1/01/2018;2,5;1;9;20;;10;3;;;6;3;17;;68;1;1;PEQUEÑA;1;0;2018;Trim.1;27,2
BOGOTÁ Y PYME;BOGOTÁ CENTRO;26;LOS MINISTERIOS;1/01/2018;3,5;1;10;1399;;22;;;1;6;4;5;;1447;2;1;MEDIANA;1;0;2018;Trim.1;413,4
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;PALOQUEMAO;1/01/2018;2,5;1;4;31;1;10;4;;1;9;1;9;;70;1;1;PEQUEÑA;1;0;2018;Trim.1;28
BOGOTÁ Y PYME;BOGOTÁ CENTRO;40;PRINCIPAL;1/01/2018;7,5;1;1;79;;43;4;1;6;13;19;16;1;183;4;3;MUY GRANDE;1;0;2018;Trim.1;24,4
BOGOTÁ Y PYME;BOGOTÁ CENTRO;26;SAN AGUSTIN;1/01/2018;3,5;1;6;15;1;14;7;;;4;1;7;;55;2;1;MEDIANA;1;0;2018;Trim.1;15,7
BOGOTÁ Y PYME;BOGOTÁ CENTRO;150;SAN DIEGO;1/01/2018;7,5;1;2;72;;53;7;1;9;30;6;18;2;200;4;3;MUY GRANDE;1;0;2018;Trim.1;26,7
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;SANS FACON;1/01/2018;2,5;1;11;23;;13;4;1;2;7;1;12;;74;1;1;PEQUEÑA;1;0;2018;Trim.1;29,6
BOGOTÁ Y PYME;BOGOTÁ SUR ;129;SOSIEGO;1/01/2018;2,5;1;5;79;;11;1;2;;4;1;2;;105;1;1;PEQUEÑA;0;0;2018;Trim.1;42
BOGOTÁ Y PYME;BOGOTÁ NORTE;11;ANTIGUO COUNTRY;1/01/2018;2,5;1;1;154;;3;3;2;;1;2;50;;216;1;1;PEQUEÑA;1;0;2018;Trim.1;86,4
BOGOTÁ Y PYME;BOGOTÁ CENTRO;66;AVENIDA CHILE;1/01/2018;4,5;1;9;128;;23;5;;3;13;4;45;;230;2;2;GRANDE;0;0;2018;Trim.1;51,1
BOGOTÁ Y PYME;BOGOTÁ CENTRO;48;CALLE 64;1/01/2018;2;0;3;19;;2;;;;;2;;;26;1;1;PEQUEÑA;1;0;2018;Trim.1;13
